host_id,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,accommodates,bathrooms,bedrooms,beds,amenities,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,NumberOfVerfication,govermentIdentification,numberofamentities
68812666,69,30,0,,,1,179,4/25/2016,N/A,N/A,N/A,f,1,1,"['email', 'phone', 'facebook']",t,f,1,2,1,1,"{TV,Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",Breakfast,""Hot tub"",""Indoor fireplace"",Heating,Washer,Dryer,""Smoke alarm"",""Carbon monoxide alarm"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop-friendly workspace""}",30,30,30,30,30,30,30,30,60,90,0,,,,,,,,t,3,no,23
23226516,750,5,0,,,1,365,11/1/2014,N/A,N/A,N/A,f,1,1,"['email', 'phone', 'reviews']",t,f,1,15,1,1,"{TV,""Cable TV"",Internet,Wifi,Pool,Kitchen,""Free parking on premises"",Breakfast,""Pets live on this property"",Dog(s),""Hot tub"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke alarm"",""Carbon monoxide alarm"",""Fire extinguisher"",Essentials,Shampoo}",100,5,5,100,100,5,100,30,60,90,0,,,,,,,,f,3,no,21
237608553,200,2,0,,,1,29,1/19/2019,N/A,N/A,N/A,f,1,1,['phone'],t,f,1,15,1,1,"{TV,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Free street parking"",""Indoor fireplace"",Heating,Washer,Dryer,""Smoke alarm"",""Carbon monoxide alarm"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Hot water"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""BBQ grill"",""Patio or balcony"",""Garden or backyard""}",14,2,2,14,14,2,14,29,29,29,0,,,,,,,,t,1,no,32
90031206,37,1,207,3/13/2020,514,2,8,8/15/2016,N/A,N/A,94%,f,2,2,"['email', 'phone', 'reviews']",t,f,2,1,1,1,"{Kitchen,""Free street parking"",Washer,Dryer,""Smoke alarm"",""Carbon monoxide alarm"",""First aid kit"",""Fire extinguisher"",""Self check-in"",Keypad,Microwave,""Coffee maker"",Refrigerator}",7,1,1,7,7,1,7,0,0,8,11,92,10,9,10,10,9,9,t,3,no,13
90031206,42,1,77,3/15/2020,173,2,0,8/15/2016,N/A,N/A,94%,f,2,2,"['email', 'phone', 'reviews']",t,f,4,2,1,2,"{TV,Wifi,Kitchen,""Free parking on premises"",""Pets allowed"",""Free street parking"",Heating,""Family/kid friendly"",""Suitable for events"",Washer,Dryer,Essentials,Hangers,Iron,""Self check-in"",Keypad,""Hot water""}",1125,1,1,1125,1125,1,1125,0,0,0,2,94,9,9,10,10,9,9,t,3,no,17
215463771,55,1,242,7/22/2020,1072,1,356,9/15/2018,within an hour,100%,100%,t,1,1,"['email', 'phone', 'offline_government_id', 'selfie', 'government_id', 'identity_manual', 'work_email']",t,f,2,1,1,1,"{TV,""Cable TV"",Wifi,""Free parking on premises"",""Free street parking"",Heating,""Smoke alarm"",""Carbon monoxide alarm"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Iron,""Laptop-friendly workspace"",""Self check-in"",Keypad,""Private living room"",""Private entrance"",""Hot water"",""Bed linens"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed"",""Cleaning before checkout"",""Shower gel""}",30,1,1,1125,1125,1,1125,23,53,83,113,99,10,10,10,10,10,10,t,7,yes,31
38965079,60,5,0,,,1,0,7/19/2015,N/A,N/A,100%,f,1,1,"['email', 'phone', 'offline_government_id', 'government_id']",t,f,1,1,2,2,"{Wifi,Kitchen,""Smoke alarm"",Essentials,""Lock on bedroom door"",Hangers,""Hot water"",Dishwasher}",5,5,5,5,5,5,5,0,0,0,0,,,,,,,,f,4,yes,8
3532874,65,1,1,7/19/2020,1,1,365,9/11/2012,within a day,100%,100%,f,0,0,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id', 'work_email']",t,t,2,1,1,1,"{Wifi,""Air conditioning"",Kitchen,""Free street parking"",""Indoor fireplace"",Heating,""Smoke alarm"",""Carbon monoxide alarm"",""First aid kit"",Essentials,""Lock on bedroom door"",Hangers,Iron,""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""Patio or balcony"",""Garden or backyard"",""No stairs or steps to enter"",""Flat path to guest entrance"",""Shower gel"",""Trash can""}",10,1,1,10,10,1,10,30,60,90,1,100,10,10,10,10,10,10,f,7,no,30
84340991,40,1,8,1/9/2017,16,1,0,7/17/2016,N/A,N/A,N/A,f,1,1,"['email', 'phone', 'reviews']",t,f,2,15,1,1,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Breakfast,""Pets live on this property"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke alarm"",""Carbon monoxide alarm"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop-friendly workspace""}",4,1,1,4,4,1,4,0,0,0,0,95,10,10,10,10,10,10,f,3,no,23
47352531,60,2,34,7/10/2020,237,1,87,10/24/2015,within an hour,100%,100%,f,1,1,"['email', 'phone']",t,f,4,1,1,1,"{TV,Wifi,Kitchen,""Free street parking"",""Smoke alarm"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop-friendly workspace"",""Self check-in"",Lockbox,Bathtub,""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Long term stays allowed"",""Wide hallways"",""Wide entrance for guests"",""Flat path to guest entrance"",""Well-lit path to entrance""}",1125,2,2,1125,1125,2,1125,27,57,87,23,92,9,9,10,10,10,10,t,2,no,31
