host_id,price,number_of_reviews,calculated_host_listings_count,availability_365,host_since_days,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,,host_identity_verified,accommodates,bathrooms,bedrooms,beds,avg_rm,availability_30,availability_60,availability_90,number_of_reviews_ltm,instant_bookable,NumberOfVerfication,govermentIdentification,numberofamentities
861297,125,28,3,360,3399,f,9,9,t,1,t,4,1,1,2,1.333333333,25,55,85,2,f,4,no,48
861297,125,69,3,358,3399,f,9,9,t,1,t,4,1,1,4,2,23,53,83,5,f,4,no,47
4006222,125,1,1,0,2936,f,1,1,t,1,t,3,1,1,2,1.333333333,0,0,0,0,f,5,no,22
14846553,125,225,1,289,2390,t,1,1,t,1,f,4,1,1,1,1,0,8,23,40,f,4,no,45
31817984,125,193,2,133,2030,f,5,5,t,1,t,6,2,2,4,2.666666667,16,41,65,35,t,5,no,52
25320944,125,337,2,82,2146,t,6,6,t,1,t,2,1,1,1,1,22,52,82,99,f,9,yes,30
14058909,125,15,1,54,2410,f,1,1,t,1,f,4,15,2,3,6.666666667,0,24,54,5,f,4,yes,34
251230479,125,111,4,71,597,t,6,6,t,1,f,4,1,2,2,1.666666667,14,41,71,84,t,4,yes,40
6532123,125,0,5,0,2731,f,3,3,t,1,t,2,1,1,1,1,0,0,0,0,f,4,no,22
315139803,125,0,1,0,342,f,1,1,t,1,f,2,2,1,1,1.333333333,0,0,0,0,t,1,no,16
22938728,128,177,1,154,2210,t,1,1,t,1,f,6,15,2,2,6.333333333,6,23,53,44,t,8,yes,46
17850692,129,170,7,0,2318,t,7,7,t,1,t,4,1,1,1,1,0,0,0,17,f,6,yes,40
23264635,129,2,1,30,2202,f,1,1,t,1,t,2,1,1,1,1,0,25,30,0,f,4,no,22
23660741,129,4,2,179,2192,f,2,2,t,1,f,2,1,0,1,0.666666667,29,59,89,1,f,2,no,25
25320944,129,279,2,76,2146,t,6,6,t,1,t,2,1,1,1,1,18,46,76,128,f,9,yes,36
8534462,130,0,109,0,2631,f,1081,1081,t,1,t,2,1,0,1,0.666666667,0,0,0,0,t,9,yes,0
8534462,130,0,109,0,2631,f,1081,1081,t,1,t,2,1,0,1,0.666666667,0,0,0,0,t,9,yes,0
8534462,130,0,109,0,2631,f,1081,1081,t,1,t,2,1,0,1,0.666666667,0,0,0,0,t,9,yes,0
1028043,135,57,37,358,3365,f,44,44,t,1,f,4,1,1,2,1.333333333,23,53,83,15,t,7,yes,40
62103170,135,4,1,0,1710,f,1,1,t,1,t,4,1,1,2,1.333333333,0,0,0,0,f,5,no,10
