host_id,price,number_of_reviews,calculated_host_listings_count,availability_365,host_since_days,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,accommodates,bathrooms,bedrooms,beds,avg_rm,availability_30,availability_60,availability_90,number_of_reviews_ltm,instant_bookable,NumberOfVerfication,govermentIdentification,numberofamentities
1151858,59,482,3,86,3346,t,3,t,t,2,1,1,1,1,30,59,86,54,f,9,yes,38
28244663,59,12,1,0,2087,f,1,t,t,1,1,1,1,1,0,0,0,0,f,6,no,16
5062900,60,11,2,362,2828,f,2,t,t,1,1,1,1,1,27,57,87,3,f,4,no,22
257651099,60,6,2,82,567,t,2,t,t,2,2,1,1,1.333333333,22,52,82,6,f,7,yes,27
81329976,65,33,1,345,1592,f,1,t,t,2,1,1,1,1,10,40,70,12,t,6,no,37
203398527,65,20,1,83,846,t,1,t,f,1,2,1,1,1.333333333,0,0,0,6,f,7,yes,13
6230957,69,95,1,0,2746,t,1,t,t,2,1,1,1,1,0,0,0,10,f,5,no,27
222028204,69,9,1,85,750,t,1,t,f,2,1,1,1,1,25,55,85,2,t,4,yes,17
144288,70,59,1,80,3802,t,1,t,t,2,1,1,1,1,0,0,0,9,f,6,no,32
6183960,75,217,1,24,2750,t,1,t,t,1,1,1,1,1,1,1,1,2,f,7,yes,39
1692264,75,30,1,0,3203,f,1,t,t,2,15,1,1,5.666666667,0,0,0,23,f,9,yes,16
27193907,75,43,2,0,2106,t,2,t,f,2,1,1,1,1,0,0,0,11,t,7,yes,36
264184222,75,31,1,0,534,t,1,t,f,2,1,1,1,1,0,0,0,22,f,2,no,39
132088295,79,59,1,53,1264,t,1,t,f,2,1,1,1,1,0,23,53,12,t,3,no,30
4337023,79,59,1,0,2897,t,1,t,t,2,1,1,1,1,0,0,0,15,f,5,no,31
276025049,80,2,1,365,485,f,1,t,f,2,1,1,1,1,30,60,90,2,t,2,no,18
74510346,85,9,1,0,1627,f,1,t,t,2,2,1,1,1.333333333,0,0,0,0,f,5,no,17
139306353,89,92,2,0,1221,t,2,t,t,2,1,1,1,1,0,0,0,16,t,4,no,27
20841460,90,10,1,363,2261,f,1,t,f,2,0,1,1,0.666666667,28,58,88,3,f,7,yes,20
30945826,65,0,1,154,2041,f,1,t,t,2,1,1,1,1,5,35,65,0,f,5,no,20
71742158,100,9,2,24,1643,t,2,t,f,2,1,1,0,0.666666667,0,0,24,4,t,8,yes,37
71742158,100,1,2,67,1643,t,2,t,f,2,1,1,1,1,13,41,67,0,f,8,yes,39
32196671,110,0,1,0,2022,f,2,t,f,1,1,1,1,1,0,0,0,0,t,3,no,9
22028607,130,4,1,179,2232,f,1,t,t,2,1,1,1,1,29,59,89,0,f,5,no,16
194787839,130,2,1,31,884,f,1,t,f,2,1,1,1,1,0,0,0,0,f,2,no,27
66371345,150,0,1,0,1677,f,1,t,f,2,1,1,1,1,0,0,0,0,f,3,no,6
10824022,32,18,6,0,2511,t,5,t,f,2,1,1,2,1.333333333,0,0,0,2,f,3,no,14
10824022,37,21,6,0,2511,t,5,t,f,2,1,1,1,1,0,0,0,18,t,3,no,18
19652072,40,87,3,330,2287,t,3,t,t,2,1,1,1,1,0,25,55,32,f,5,no,16
19652072,40,44,3,330,2287,t,3,t,t,1,1,1,1,1,0,25,55,11,t,5,no,16
77944255,40,15,3,118,1609,t,3,t,t,2,1,1,1,1,0,21,51,2,f,9,yes,31
94387909,40,10,1,0,1523,f,1,t,t,2,1,1,1,1,0,0,0,0,f,7,yes,40
77944255,40,55,3,169,1609,t,3,t,t,3,1,1,1,1,11,41,71,25,f,9,yes,29
206054087,40,10,2,0,834,t,2,t,f,2,2,2,3,2.333333333,0,0,0,4,f,2,no,36
77944255,40,40,3,346,1609,t,3,t,t,3,1,1,1,1,11,41,71,27,f,9,yes,33
4237644,40,68,3,0,2907,t,3,t,t,2,1,1,1,1,0,0,0,30,f,4,no,16
58508816,42,9,2,269,1733,t,2,t,f,1,1,1,1,1,1,1,1,5,f,5,no,32
58508816,45,11,2,318,1733,t,2,t,f,1,1,1,1,1,0,13,43,5,f,5,no,23
58936162,45,0,1,0,1730,f,1,t,f,1,1,1,1,1,0,0,0,0,t,3,no,9
10824022,47,30,6,0,2511,t,5,t,f,1,1,1,1,1,0,0,0,14,t,3,no,24
4237644,50,81,3,0,2907,t,3,t,t,2,1,1,1,1,0,0,0,16,t,4,no,13
196851427,500,0,1,89,874,f,1,t,f,4,2,2,2,2,29,59,89,0,t,2,no,18
19652072,55,78,3,330,2287,t,3,t,t,2,1,1,1,1,0,25,55,20,f,5,no,12
137726589,55,172,1,85,1230,t,2,t,f,2,1,1,1,1,21,48,78,64,t,7,yes,40
10824022,55,10,6,0,2511,t,5,t,f,2,1,1,1,1,0,0,0,5,t,3,no,13
39306682,58,17,3,0,1937,t,3,t,f,2,1,1,1,1,0,0,0,0,f,5,yes,39
7783596,59,116,2,0,2662,t,1,t,t,2,1,1,1,1,0,0,0,86,f,5,no,36
67327000,60,6,1,0,1670,f,1,t,t,1,1,1,1,1,0,0,0,0,f,5,no,20
39306682,60,63,3,0,1937,t,3,t,f,2,1,1,1,1,0,0,0,16,f,5,yes,40
145360342,60,0,1,0,1188,f,1,t,f,2,2,2,1,1.666666667,0,0,0,0,t,7,yes,14
3720415,61,60,1,245,2963,t,1,t,t,2,1,1,1,1,21,51,81,18,t,5,no,28
206054087,65,5,2,0,834,t,2,t,f,1,1,1,1,1,0,0,0,1,f,2,no,35
178795979,65,0,2,87,970,f,0,t,f,2,1,1,1,1,0,0,0,0,f,2,no,18
178795979,65,1,2,100,970,f,0,t,f,2,1,1,1,1,0,0,0,1,f,2,no,30
29286002,67,145,1,0,2069,t,1,t,f,2,1,1,1,1,0,0,0,34,f,8,yes,26
105793,69,9,1,175,3868,f,1,t,t,2,1,1,1,1,25,55,85,0,f,7,no,31
10824022,70,51,6,0,2511,t,5,t,f,2,1,1,1,1,0,0,0,0,t,3,no,14
169117156,72,62,2,160,1024,t,2,t,f,2,1,1,1,1,10,40,70,11,f,2,no,28
26350438,74,71,1,0,2122,t,1,t,f,2,1,1,1,1,0,0,0,33,t,7,yes,28
10824022,75,64,6,0,2511,t,5,t,f,2,1,1,1,1,0,0,0,2,t,3,no,31
169117156,77,125,2,0,1024,t,2,t,f,4,1,2,2,1.666666667,0,0,0,16,f,2,no,27
6156189,79,11,1,0,2751,f,1,t,t,4,1,1,2,1.333333333,0,0,0,0,f,7,no,32
